Nr,from,to,form
1,needs,intrinsic_motivation,
1,needs,integration,
2,intrinsic_motivation,healthy_development,
2,intrinsic_motivation,wellbeing,
2,integration,healthy_development,
2,integration,wellbeing,
3,needs,wellbeing,
4,external_event,intrinsic_motivation,
5,external_event,needs,
5,external_event,locus_of_causality,
6,locus_of_causality,intrinsic_motivation,
7,external_event,locus_of_causality,
7,external_event,needs,
8,locus_of_causality,intrinsic_motivation,
